dialogue_id,conversation_transcript,label,likert_evaluation,hal16_score,likert_evaluation_mean,cv,elapsed_time
18,"I: hi there . i am a hair dresser . want to chat ?
W: hi , sure if you stop cutting womens hair so short
I: but i am so used to cutting hair short , i give my three dogs buzz cuts .
W: i am a chef and i can cook good but i am not happy about my weight .
I: oh a chef can you make me a cheese pizza ? i am starving !
W: short hair is ok for guys and dogs but my husband hates it on women .
I: i have short hair but i may grow it out for my fave holiday christmas .
W: i can make 5 different kinds depending what cheese and toppings
I: i just prefer a plain cheese pizza .
W: i have 3 hungry kids and a husband to cook for . luckily he works at night .
I: i would be so lonely if my husband was not here at night .
W: i am a chef during the day at work and again at home for the kids
I: how long have you been a chef ?
W: we like our schedule . that way we do not get tired of each other
I: that makes sense . all couples need alone time .
W: 10 years and people say i am an awesome cook . lots of repeat customers
",1,"[5, 1, 1, 5, 5, 2, 3, 1, 1, 1, 3, 1, 4, 2, 1, 5]",6.2013343327,2.5625,0.181702705,29.4403505325
23,"I: hello , how are you doing today ?
W: i am doing pretty good , how are you ?
I: great , what is your favorite color ?
W: green . what do you do for fun ?
I: green is my favorite too ! i collect teddy bears . you ?
W: kool ! i like to play fantasy video games .
I: like stuff where you are a medieval hero or something ?
W: just like that , i also build model spaceships in my free time .
I: that is cool . do you have any zoos where you live ?
W: yes , we do . do you like animals ?
I: yes , i really love bears . you ?
W: not really , i am pretty shy . i like cats .
I: i like cats too . but i have a dog named banjo .
W: kool , what kind of dog is he ?
",1,"[5, 1, 1, 5, 5, 5, 4, 5, 1, 1, 5, 3, 3, 5, 1, 5]",2.6669547735,3.4375,0.1714672641,29.6515967846
11,"I: hello , how are you tonight ? are you a buckeyes fan ?
W: hello , doing good thanks ! no i am a wildcats fan lol
I: hmm . lol . as long as you are not a fan of that team up north .
W: no i ma not . go figure i am cats fan and allergic to cats lol .
I: i do not like cats , i am afraid of their saliva getting on me .
W: agree . i live in a small town in kentucky .
I: i live in a small town in ohio .
W: so we are semi close neighbors .
I: seems like it . have you been to the rock hall ?
W: no . i enjoy crafts and this new game that i am trying to learn .
I: i am a gamer as well , i love fallout .
W: i live close to where daniel boone roamed .
I: i am just under lake erie .
W: i have been to small town there called mansfield .
I: you are right in my area . did you go to the prison ?
W: yes it was very nice to visit where the movie was made at .
",1,"[5, 1, 4, 5, 5, 4, 3, 1, 3, 1, 5, 2, 1, 3, 1, 5]",2.5585405814,3.0625,0.2871832634,29.9219987392
39,"I: hello , how are you this evening ?
W: i am doing great . just watching a movie .
I: that is fun ! where did you work in high school ? i worked at hollister .
W: i worked at dairy queen . i am in school now .
I: ah , cool . i skate for a living .
W: what kind of skating do you do ?
I: skateboarding . i like to play music for fun . my genre is bluegrass .
W: i used to skateboard . now i just study and play video games .
I: those are fun activities . do you like chips ? i cannot stand them .
W: i love chips so much . what food do you like ?
I: i like pizza . it is very good !
W: i like pizza too . the sauce is the best part .
I: have you had the white sauce ? it is so good !
W: is that like a alfredo sauce ?
I: i think so . i never really know the name of it .
W: i think i ate it once at a party .
",1,"[5, 1, 1, 5, 4, 5, 4, 5, 1, 2, 4, 1, 3, 4, 1, 5]",3.0566241448,3.1875,0.2189265141,30.2595288754
36,"I: hi there , how are you today ?
W: i am great ! just got home from working with dogs all day !
I: oh you have dogs ? i have two chow chow .
W: i love dogs ! i have dogs and i get to train them at work , too !
I: i wish i could take my dogs out . i just had a surgery not long ago .
W: i hope you feel better soon . what do you like to do for fun ?
I: i like to go hiking . you ?
W: i love to dance . and bake i love sweets !
I: i like to travel as well . i am going to budapest on an acting assignment .
W: how fun ! what a great place to take pictures !
I: i eat sardines every morning to keep my weight down , no sweets .
W: woah ! salty ! i bake every weekend , so luckily i work out regularly !
I: i am studying for my ged so i bring my books on the trade mill .
W: that sounds like hard work !
I: not really , the two hours hot yoga daily is a hard work .
W: hot yoga is great . good thing to do after a weekend of brownies and cupcakes !
",1,"[5, 1, 1, 5, 5, 5, 4, 4, 3, 3, 5, 2, 4, 4, 1, 5]",3.4566315478,3.5625,0.2960251869,30.5380346775
19,"I: there are four people in my family . how about yours ?
W: just two right now and a siamese cat .
I: those are beautiful ! i do not own any since i am in school .
W: oh , i no longer work at the bank but for exercise walk a mile a day .
I: my idea of exercise is dancing while i listen to music i like .
W: better than walking alone . i also make quilts and give them away to family .
I: that would be nice for someone like me . i am only five feet tall .
W: what is your major in school ?
I: psychology . my one sibling and two parents are like strangers . i can pick their brains .
W: have your very own test subjects .
I: yes , that is my thought exactly .
W: well , got to go now . . . . see you .
I: see you ! time to go listen to that music i love .
W: okay going out to walk some more .
",1,"[5, 1, 1, 5, 5, 3, 2, 3, 3, 3, 4, 1, 1, 3, 5, 5]",5.4650092715,3.125,0.406095351,30.964672327
46,"I: hi , want to be my friend ?
W: hello , sure why not ! how old are you ? i just turned 34
I: whoa . i am only 12 . what is it like to be old ?
W: my 2 kiddos are in kindergarten , they want to graduate at mississippi university like me
I: that is cool i guess . are they twins
W: no . only 12 ? so no job yet . i have done real estate 12 years now
I: ha . that is since i was a baby . i am a tae kwan do champ
W: must be a brutal 12 year old ! haha ! i try to do environmental work too .
I: yeah . my school does clean up projects
W: that is good . we should all take better care of the planet . we only have one .
I: now you sound like my science teacher
W: i hated science . i am a history buff . not american though , ancient history .
I: yeah history is cool . it is like a big story
W: exactly . and since i love to read then it makes better sense to me .
I: we are learning about the aztecs
W: they had a very advanced society . too bad the spaniards killed them all .
",1,"[5, 1, 1, 5, 5, 5, 3, 2, 3, 1, 5, 3, 4, 4, 1, 5]",4.5741058898,3.3125,0.0888386638,30.3575122356
45,"I: hi ! what are you up to ? i am listening to some rap while studying
W: hi , i am lucy . just getting ready for another day at the office
I: what do you do at the office ? i am studying to be a teacher
W: i am a secretary . that is neat , what subject do you want to teach
I: i want to teach kindergarten . i am 22 and have lots of energy
W: kindergarten would be fun ! do you play any sports
I: i play soccer , lacrosse and softball . anything active
W: i played soccer in college ! we won a cup one season
I: congratulations ! my friends and i are in a soccer league together .
W: that sounds like fun ! i just almost choked on a piece of candy
I: i know the heimlich so i could have helped you
W: i have never met anyone who knew that . do you like candy
I: yes i do ! smarties are my favorite . you ?
W: i like all candy ! those are pretty good . sour gummy worms are my favorite
I: be careful not to choke on them !
W: true , they could be quite hazardous
",1,"[5, 1, 1, 5, 5, 4, 3, 5, 2, 3, 5, 1, 1, 3, 1, 5]",3.1282020774,3.125,0.2436321222,30.8882434368
47,"I: hi , want to be my friend ?
W: sure , i am darlene and i work 2 part time jobs right now .
I: hi darlene . 2 jobs must be hard . how do you relax ?
W: i do not much but i am a fan of anything fantasy so that helps .
I: you should try jazz music to unwind
W: i will try that , any hobbies , i want to try writing fantasy books .
I: i watch a lot of tv . the office is my favorite
W: i like that show to , greys anatomy is a favorite of mine , any kids or other person ?
I: nope just me . what would your book be about ?
W: i think a fantasy world something like avatar , i always wanted a part 2 .
I: like the blue people ? or like aang can save the world ?
W: the blue people , any hobbies for you ?
I: i collect new york tourist junk
W: sounds interesting , what is your favorite of your collection ?
I: i have a pretty cool snow globe with a moving ferry
W: wow sounds awesome , what do you do for a living ?
",1,"[5, 1, 1, 5, 5, 5, 2, 5, 1, 3, 5, 2, 4, 5, 1, 5]",4.9253144642,3.4375,0.2436556585,30.8508496284
29,"I: how are you today ? i like you
W: i am great . just relaxing and knitting some hats for the babies at my old job .
I: where did you use to work ?
W: childrens hospital until i became disabled . what do you do ?
I: i rent out houses to people
W: that is a great industry . what kind of music do you like ?
I: like people who are handy ?
W: yes . i love to cook and i am looking for someone to build me some cooling racks .
I: lol , i like classic cars
W: me too what is your favorite ? chevelle ? cadillac ? oldsmobile ?
I: i get sick on seafood
W: i prefer to cook vegan food . what do you like to eat ?
I: i like to eat fried foods
W: well they are not good for you but they taste great ! do you like french fries ?
I: i do they so good too
W: do you have any plans for the weekend ?
",1,"[5, 1, 2, 5, 5, 5, 3, 5, 1, 3, 5, 1, 4, 4, 1, 5]",4.0989355706,3.4375,0.2366853469,31.6203603745
6,"I: hi , do you have sons ? i have two .
W: a younger brother and no children is all . besides dad
I: i will be in a school of hairdresser , i also own a fish aquarium
W: really . fish raw is my meal . what kind of fish ?
I: i love exotic fish , you have a nice family .
W: my family is nice . we spend time at the weight room a lot
I: i love the 1950 era and the decorations of that era
W: we work out to hip hop artists and i love the 1990 era
I: it is a nice family event and healthy too
W: yes it is . i cherish those moments .
I: you are so much younger than me
W: am i how much younger ? how old are you ?
I: i bet you do not eat granola in the morning
W: no i do not . only fruit and coconut juice . also , water and supplements
I: i eat that daily younger folks can not stand it
W: that is what is good for the body and spirit .
",1,"[5, 1, 2, 5, 5, 5, 2, 4, 1, 3, 5, 1, 2, 4, 1, 5]",4.566287237,3.1875,0.1785818406,32.4169309139
24,"I: hello , how are you ? did you eat your bacon this morning ?
W: no ! i am a jew ! i assume you like bacon ?
I: i like meat . steaks are cool too . you can have one of those
W: yeah , that is fine . i prefer savoury foods to sweet anyway . do you like music ?
I: i do . i have a killer stereo in my raptor . do you like to hike and camp ?
W: i would , but i live in new york so do not drive , which is difficult
I: that would be difficult . what about central park ?
W: could hike there , but camping might be tricky ? do you watch much tv
I: no , i do not . mom is a nurse and sleeps during the day .
W: tricky what about in the evening ? the office is my fave at the moment
I: i work in the evenings , i do not get home until after midnight .
W: gosh , i thought all the children would need to be asleep by then
I: i am not a child , lol . i built mom a new home last fall .
W: impressive you are obviously a hard worker
",1,"[5, 1, 1, 5, 5, 4, 2, 5, 2, 1, 4, 3, 5, 4, 1, 5]",4.7195053775,3.3125,0.2641338045,32.568952322
3,"I: hi want to get to know each other ?
W: yes we got to act quickly
I: i am going for a horse ride tomorrow . do you like horses ?
W: i never have juice , just water .
I: is that hard for you ? i love sugar
W: yes i do i work on the baby floor an i want no kids lol
I: i am looking forward to retirement
W: no it is easy especially being single an i like it
I: well i have some heath issues , maybe i will try it
W: i do get it i do
I: will water help my circulation . i have an achy leg
W: yes get on it now
I: i will thank you for the advice
W: anytime are you okay now ?
I: yeah . it does not hurt oo bad . i still ride
W: do you where do you go ?
",1,"[5, 2, 1, 5, 5, 2, 2, 3, 2, 1, 4, 2, 3, 2, 1, 4]",4.7878006516,2.75,0.4225771274,32.7678070068
10,"I: hi trying to find some die hard ed sheeran fans .
W: sorry , i do not like music , i like reading mystery books .
I: so do i , but i like the older mysteries like agatha christie .
W: growing up on a farm , you learn to read a lot more .
I: i can imagine , in fact i hope to teach english after school .
W: nice , my job is being a truck driver , i have seven kids to feed .
I: wow , you need a hobby to get away , like jujitsu or running .
W: i like running , but i have no time .
I: well i sure can understand that . running does relieve stress though .
W: it does , i like to wear my favorite color blue when i do run .
I: when you have the time where do you run ?
W: there is a local trail near my house in the mountains that i like .
I: sounds like heaven , i sure would love that !
W: yes , the peach and the quiet , it is heaven .
I: better than this jujitsu i am trying to learn ugh !
W: i bet it is hard , like karate .
",1,"[5, 1, 1, 5, 5, 4, 2, 1, 1, 3, 5, 1, 5, 3, 1, 5]",7.2448922842,3.0,0.2112350381,32.8205008507
28,"I: hello , how are you today ?
W: hello i am doing well . hanging out with my dog pedro
I: what kind of dog is he ?
W: he is a yorkie . perfect size for me since i am only five feet tall .
I: how old is your dog ?
W: he is five . he likes to eat muffins like me .
I: do you take him to the dog park ?
W: yes , there is one at my job at the healthcare industry .
I: do you like your job ? i am in real estate .
W: yes . i also like film do you ?
I: i like movies about history .
W: so do i . i also like documentaries , do you ?
I: yes , i like most of them . as long as it is something i am interested in .
W: same here . anything else you want to share with me ?
I: sure , i like working on cars .
W: what kind of cars ? my car needs to get fixed . maybe you can find mine ?
",1,"[5, 1, 1, 5, 4, 5, 3, 5, 2, 3, 4, 1, 4, 4, 1, 5]",3.9357910028,3.3125,0.2246834868,33.0065174103
25,"I: i really need to make this chat quick because i need to go to bed
W: ok lets do it . movies ?
I: i get up early and brightly but no cats
W: i was born in south carolina you ? i am a singer
I: no i m allergic to the fair of cats traps are usually do it
W: my name is joanna and i like horror films
I: i do crafts for ordering the pham
W: interesting , what do you do for work ?
I: in a very small town that s where i need
W: i can understand that .
I: i mean that s where i live how about you
W: big city now . helps with my career in singing
I: so what do you see any music you sing
W: mostly country . like the way it makes me feel and relates to life
I: you re awesome i hope i can do that
W: took a very long time for me to land a deal .
",1,"[5, 1, 1, 5, 5, 4, 3, 4, 1, 3, 4, 2, 4, 4, 1, 5]",4.8509788746,3.25,0.2990231741,33.7860302925
40,"I: boy am i tired ! just got done hunting . how are you ?
W: hey , not bad . hunting , that is cool . do you hunt for sport or meat ?
I: meat , not sport . i take old classic cars and make them new again for a hobby .
W: awesome . i love meat . i eat a high protein meat based diet .
I: nice ! looking to rent a property any time soon ?
W: not me , but maybe for my brother . are you a realtor ?
I: no , but i work for a company and could hook you up with a good deal .
W: sweet . i do not work for a company , i do bodybuilding for a living .
I: no wonder you eat so much meat !
W: indeed ! so do you have any family ?
I: i have a husband and 2 kids . fun fact we are all allergic to shellfish .
W: i see ! so besides my brother i have my mom . she is a secretary .
I: are you close with your family ?
W: yes , not married and no kids , so my brother and mom are all i have . you ?
I: makes sense . i am very close with my family as well .
W: do they go hunting with you ever ?
",1,"[5, 1, 1, 5, 5, 5, 3, 5, 1, 1, 5, 3, 4, 5, 1, 5]",3.7364336443,3.4375,0.2950935618,33.9702892303
41,"I: hi . hows your night going ?
W: registered nurse it s not raining fine
I: i am relaxing with a book . kids in bed so it it quiet
W: watching one tree hill is relaxing for me
I: i like to cook and hang out with my wife
W: you guys like pizza it s my favorite
I: of course ! its a quick easy dinner for a big family
W: hey i am a cat catholic devout
I: proud republican here ! pretty strong political views
W: i m not remain silent but purple is my favorite
I: i am quiet about it too . . . . . i am a teacher so i have to watch what i say
W: sorry for the typo what i mean is
I: what you mean is ? another typo ? lol
W: i m having a hard time typing sorry
I: no apologies necessary ! i am getting a bit sleepy so my typing is not great either
W: ok what else do you do for fun
",1,"[5, 1, 2, 5, 5, 3, 2, 4, 1, 1, 3, 2, 3, 2, 1, 4]",5.0886306482,2.75,0.1157275125,34.3059391975
16,"I: hey how are you today
W: hello , my leg is really giving me pain today .
I: i am sorry hope you feel better soon .
W: thank you . what are you doing ?
I: getting ready to take my wife and kids to dinner
W: i am just about to cook dinner ; what will you order ?
I: i think my youngest son said he wanted pizza
W: i like pizza . do you let your son make the decisions ?
I: no we take turns it was his turn tonight .
W: that is lucky for him .
I: yeah but we all like pizza so everyone is happy .
W: well that is nice that you all get along .
I: yeah . what do you do for a living
W: well , i ride show horses , but i am hoping to retire soon , you ?
I: i work as a carpenter and play poker for fun
W: that sounds fun ! i have not played poker .
",1,"[5, 1, 1, 5, 4, 5, 3, 5, 1, 3, 5, 1, 1, 4, 1, 4]",3.0534093336,3.0625,0.3073288199,36.0914261341
49,"I: hi there ! just finished shopping ! love it !
W: hello how are you today
I: i love clothes and models ! cant wait to get to auburn to study it !
W: why are you taking so long to answer ?
I: why are others ? sorry . i love to drive beetles .
W: i like to get to know new people
I: i know plenty in high school i am 17 .
W: autumn is my favorite time of the year
I: nice ! this is my senior year in school , so i am enjoying fall .
W: that is great . i like to play ultimate frisbee
I: that took a while . i was going through my new clothes .
W: my parents do not live with me and i am sad .
I: taking you a while . do you play frisbee with your dog ?
W: they moved to bora bora last week
I: why did not you go with them ?
W: i could not leave my pet turtle timothy behind
",1,"[5, 1, 1, 5, 3, 2, 3, 1, 1, 1, 3, 1, 4, 1, 2, 5]",5.2237825067,2.4375,0.2435525504,35.3035032749
9,"I: how are you tonight , i just got back from hiking .
W: i am great ! that is cool , i just got home from hunting .
I: so we both like outdoors , i am in ohio .
W: i do like the outdoors . . . as well as restoring classic cars . i am in missouri .
I: when i am not in my office doing accounting , i am with my 2 boys .
W: that is good . i work as a handyman for a company that rents properties .
I: i wish i was handy , being a single mom and all .
W: i am a single parent as well . just me and my baby girl .
I: i would love a baby girl , it must be fun to go shopping ?
W: it is fun to go shopping for her
I: do you buy a lot of girl things , or more neutral ?
W: she happens to like pink a lot . . .
I: i like lavender , but the boys not so much .
W: lol . i have bought neutral colored items for her but she likes girly clothes .
",1,"[5, 3, 1, 5, 5, 5, 4, 1, 2, 1, 5, 2, 4, 3, 1, 5]",4.4921904669,3.25,0.28207564,36.5430877209
7,"I: my mom had me in mcdonald bathroom when she was 12
W: that is really sad . do you have any siblings
I: no . my uncle is the manager and took me home .
W: that was nice of him . i am almost done with college
I: he gave me a job at mcdonalds . i was considering college but i am good now .
W: i am almost done i only have two years left in law school .
I: you be smart . i would like to do something different but i team leader now .
W: that sounds important . maybe one day you will go back to school
I: i dropped out to work . maybe you can help me sure my mom for abandoning me ?
W: i do not know if we would be able to do anything because is has been so long
I: oh i am only 15 right now . is that too old ?
W: do not you have to be older than 15 to work at mcdonalds ? that sounds illegal
I: nah i do homeschool . uncle figured out how to make me work and takes the money .
W: that is horrible and verry illegal
I: really ? i am so glad i found you to help me .
W: i would love to help . i am not able to practice yet though
",1,"[5, 1, 1, 5, 5, 4, 2, 4, 1, 3, 5, 1, 4, 4, 1, 4]",5.6307635409,3.125,0.2936349278,36.7633354664
0,"I: hello , how are you doing tonight ?
W: i am well an loving this interaction how are you ?
I: i am great . i just got back from the club .
W: this is my favorite time of the year season wise
I: i would rather eat chocolate cake during this season .
W: what club did you go to ? me an timothy watched tv
I: i went to club chino . what show are you watching ?
W: lol oh okay kind of random
I: do you live in a house or apartment ?
W: we watched a show about animals like him
I: i love those shows . i am really craving cake .
W: why does that matter any ? i went outdoors to play frisbee
I: it matters because i have a sweet tooth .
W: so ? lol i want to meet my family at home in bora
I: my family lives in alaska . it is freezing down there .
W: i bet it is oh i could not
",1,"[5, 1, 1, 5, 5, 2, 1, 2, 2, 1, 4, 3, 1, 1, 2, 3]",5.912371904,2.4375,0.2449489743,36.8255913258
33,"I: hey there how are you ?
W: not bad its a beautiful night in california and you ?
I: it is pretty cold here , like body builders ?
W: yes they are pretty cool
I: yes i try to be
W: haha do you ever cosplay i got into it lately at school
I: no i do not i just write a blog on rabbit rescues lol
W: nice i go to homeschool but they let me do events at public school
I: really that is cool you like ?
W: its ok parents pulled me from public saying its too dangerous
I: i understand i would probably do the same
W: what color is your hair ? i dyed mine blue and not sure why
I: mine is black as of now
W: cool do you like robots ? i have one that is really cool
I: what is it named after ? you ?
W: no i named it sita from a book
",1,"[5, 1, 1, 5, 5, 3, 3, 4, 2, 1, 5, 3, 4, 3, 1, 5]",3.589903553,3.1875,0.2833431718,37.234613657
5,"I: hi how are you doing
W: i am well . how about you ?
I: i am good getting ready for work
W: me too . what do you do for a living ?
I: i am a lawyer long hours
W: i get that ! i am a doctor . pediatrics to be exact . do anything for fun ?
I: i like to go running with my dogs
W: me too ! well , i do not have any dogs , but i run everyday !
I: its such a great way to exercise and spend time outside
W: yes , it helps me clear my mind . i also love to read to escape reality sometimes too
I: yeah ! what state do you live in
W: california . where do you live ?
I: oklahoma nice and flat i do not like heights
W: lol . i am scared of heights too . do you like to listen to music ?
I: yeah what are you listening to right now
W: jazz . i love the smooth tunes !
",1,"[5, 1, 1, 5, 3, 5, 4, 5, 2, 1, 5, 2, 4, 5, 1, 5]",1.5009601453,3.375,0.3968035842,37.5362715721
42,"I: hi , how are you ? what is your name ?
W: hi i barb . tired from school . how about you ?
I: my name is pat . just about to head into my garden . what are you studying ?
W: i am going to be a hairdresser . how is your garden coming along ?
I: i use the plants in my biology lectures . do you have any hobbies ?
W: i have an aquarium . i keep exotic fish ! and i collect also .
I: very cool ! i have seen some amazing fish on my travels . do you travel ?
W: i do not get a chance . i kill time with my vintage collection . from 1950s
I: vintage cars ? i have been to 6 countries . i love going on long walks in each country .
W: decorations mainly . that sounds very exciting . alone or with family ?
I: alone . i love to meet new people on my travels . what is your favorite exotic fish ?
W: the nemo looking one . i stare at him when i eat my granola every morning
I: oh , the clownfish ! i researched that for one of my biology studies at the college .
W: where do you go to college ?
I: i went to michigan state but i now teach biology at georgetown . where is your hairdressing school ?
W: harvard school of haircuts . full scholarship , got the full ride .
",1,"[5, 1, 1, 5, 5, 5, 2, 5, 1, 1, 4, 1, 2, 4, 1, 5]",4.753013801,3.0,0.2308722141,37.1710505486
